YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2013,8,17,0.5,33,25.7,81,1,180
2013,8,18,0,31.3,24.4,78,1,180
2013,8,19,0,32.9,24.6,77,1,180
2013,8,20,0,33,24.8,75,1,180
2013,8,21,26.5,32.2,24.2,79,1,180
2013,8,22,1.2,29.1,22.9,87,1,360
2013,8,23,0.8,29.4,24.3,83,1,180
2013,8,24,8.6,30,23.3,93,1,360
2013,8,25,0,29.7,23.2,83,1,180
2013,8,26,0.2,32,24.5,77,2,180
2013,8,27,0,31.9,25.6,79,2,180
2013,8,28,24.3,31,23.6,90,1,180
2013,8,29,0,30.8,24.8,88,1,180
2013,8,30,0,32.9,23.2,81,1,360
2013,8,31,0,32.3,24.2,79,2,180
2013,9,1,0,32.8,25,78,2,220
2013,9,2,8.9,34,25.4,78,2,180
2013,9,3,0,32.1,24.6,81,2,180
2013,9,4,0,33.2,24.4,80,1,180
2013,9,5,45,34,23.4,80,1,180
2013,9,6,38.5,32.7,24,83,1,180
2013,9,7,0,32.1,24.6,84,1,90
2013,9,8,0,30.9,23.7,84,2,180
2013,9,9,0,30,24.3,88,1,180
2013,9,10,0.4,32.4,23.6,86,1,180
2013,9,11,0.4,31.2,23.9,81,1,180
2013,9,12,8.6,32.5,23.9,80,2,180
2013,9,13,0,33,24.6,79,1,180
2013,9,14,0,33.1,23.8,77,2,180
2013,9,15,0,33.6,25.5,77,1,180
2013,9,16,0,33,25,79,1,180
2013,9,17,1.8,33.4,24.6,81,2,180
2013,9,18,0,33.9,25.4,77,2,180
2013,9,19,0,34,25.2,74,1,180
2013,9,20,0,34.7,24.3,69,1,90
2013,9,21,0,34,25.5,77,2,180
2013,9,22,0,34.8,25.3,73,1,180
2013,9,23,0,33.7,25.4,76,1,180
2013,9,24,0,34,26.4,80,1,180
2013,9,25,0,34,25.6,78,1,180
2013,9,26,0,33.4,24.6,80,1,180
2013,9,27,0,32.7,24.9,75,1,180
2013,9,28,8.5,33.6,24.2,82,2,180
2013,9,29,0.2,31.3,25.4,81,1,90
2013,9,30,0,32,25.4,77,1,200
2013,10,1,0.7,33.9,25,72,2,180
2013,10,2,0,34,24.9,75,1,180
2013,10,3,0.6,33.9,21.8,72,2,180
2013,10,4,10.2,33.7,24.6,78,1,180
2013,10,5,0.2,31.8,25.4,74,1,180
2013,10,6,0,31,24.8,82,1,180
2013,10,7,5.1,31.8,24.7,79,1,360
2013,10,8,0,33,24.3,74,2,180
2013,10,9,0.4,31.3,24.6,80,1,180
2013,10,10,0,35.3,25.2,67,1,180
2013,10,11,0,34.9,24.6,74,2,180
2013,10,12,0,34,23.9,76,2,180
2013,10,13,0.1,34.6,24.7,78,2,180
2013,10,14,21.6,33.4,24.4,80,2,180
2013,10,15,0.5,32.1,22.8,85,1,180
2013,10,16,0,33.8,24.7,81,1,60
2013,10,17,80.4,33.4,23.6,84,2,180
2013,10,18,24.8,34,24.6,79,2,360
2013,10,19,0,34,24.1,80,2,180
2013,10,20,0,34,25.5,80,1,180
2013,10,21,0,33.3,24.7,80,1,180
2013,10,22,12,33,23.7,85,1,360
2013,10,23,0,34,23.7,77,1,20
2013,10,24,0,34,24.9,81,1,180
2013,10,25,0,34,24.8,80,1,180
2013,10,26,5,33,23.7,80,2,360
2013,10,27,0.2,33,25.1,78,1,360
2013,10,28,16,32.6,23.6,83,2,220
2013,10,29,25.9,32.8,24.1,86,2,70
2013,10,30,0,33.4,23.7,82,1,360
2013,10,31,153.7,32.5,23.4,88,2,180
2013,11,1,0,32.1,23,85,1,360
2013,11,2,17.6,32.5,24.3,81,2,360
2013,11,3,0.5,32.5,24.4,82,2,360
2013,11,4,0.2,33.5,24.5,80,2,360
2013,11,5,0.1,33.8,23.7,80,2,360
2013,11,6,0,33,24.4,80,2,360
2013,11,7,0.2,28.4,24.6,90,2,360
2013,11,8,40.9,32.3,24.3,81,2,180
2013,11,9,0,33.7,24.7,82,2,360
2013,11,10,0,33.2,24.7,80,3,360
2013,11,11,82.6,28.8,23.6,92,2,360
2013,11,12,4.2,31.1,23.3,86,1,180
2013,11,13,4.8,32.8,24.2,84,2,180
2013,11,14,3.4,32.6,24.4,84,1,360
2013,11,15,0,32.6,24,76,2,360
2013,11,16,9.1,31,23.6,81,2,360
2013,11,17,0,31.9,23.8,79,2,360
2013,11,18,0,32.2,22.9,78,3,360
2013,11,19,3,31.3,23.7,82,2,360
2013,11,20,0,30,24.4,84,1,360
2013,11,21,5.8,30.8,24.6,86,2,360
2013,11,22,1.7,28,24.2,92,1,180
2013,11,23,0,30.8,24.8,86,1,360
2013,11,24,0,33,24.7,79,2,360
2013,11,25,1.2,32.3,25.5,79,2,360
2013,11,26,0,31.6,23.9,84,1,360
2013,11,27,3.7,31.2,23.8,85,1,360
2013,11,28,1.8,27.7,23.6,92,2,360
2013,11,29,3.2,32.4,25.2,81,2,360
2013,11,30,8.6,30.6,23.7,90,1,360
2013,12,1,0,33.1,24.6,80,2,40
2013,12,2,0,32.1,24.5,80,2,360
2013,12,3,1,33.1,24.7,80,2,360
2013,12,4,0,33.5,25.3,77,2,360
2013,12,5,2.6,34,25.6,79,2,70
2013,12,6,0,32.8,25.8,82,1,220
2013,12,7,0,33.7,25.4,76,2,180
2013,12,8,2,33.1,24.5,81,2,360
2013,12,9,0,32.9,24.3,80,2,360
2013,12,10,0,31.4,23.9,83,2,360
2013,12,11,0.4,32.2,24.4,82,2,360
2013,12,12,6,32.3,24.4,78,2,360
2013,12,13,0,33.2,23.6,76,2,360
2013,12,14,0,33.2,23.4,75,2,360
2013,12,15,13.9,31.6,24.6,79,2,360
2013,12,16,0.8,28.8,23.7,91,1,360
2013,12,17,0,30.9,24.8,84,1,360
2013,12,18,0,33.4,23.6,79,1,180
2013,12,19,1.8,33.7,24,80,1,360
2013,12,20,0,32.8,23.2,79,1,360
2013,12,21,0,32,24.1,80,2,360
2013,12,22,9.2,32,23.6,83,2,360
2013,12,23,1.4,27.6,23.8,89,1,360
2013,12,24,5,31.8,24.5,82,1,360
2013,12,25,5.3,30.8,24.4,90,2,360
2013,12,26,10.2,33,24,81,2,70
2013,12,27,0,33,24.7,78,2,360
2013,12,28,0,33,24.4,76,2,360
2013,12,29,0,33.5,24.6,75,2,40
2013,12,30,0,33,23.5,74,2,360
2013,12,31,7.7,32.7,24.3,83,2,360
2014,1,1,0,32.7,24.2,80,2,360
2014,1,2,0,31.8,24.9,82,2,70
2014,1,3,0,32,24.4,79,2,360
2014,1,4,0,32.7,23.8,78,2,360
2014,1,5,-1,33.2,24.2,77,2,360
2014,1,6,11.2,32.3,22.7,80,3,360
2014,1,7,20.7,25.7,22.7,94,2,360
2014,1,8,0.5,31,23.6,86,2,360
2014,1,9,2.4,31.5,22.2,83,3,360
2014,1,10,46.2,27.4,22.6,92,2,360
2014,1,11,80.8,24.3,22.6,94,2,360
2014,1,12,0.4,28,23.9,89,2,180
2014,1,13,5.7,30.5,25,89,1,200
2014,1,14,22.7,28.8,24.6,92,1,70
2014,1,15,7.3,31,23.4,88,1,70
2014,1,16,0,32,24.4,81,1,360
2014,1,17,31.4,31,24.2,86,1,360
2014,1,18,14.2,29.7,22.9,86,2,360
2014,1,19,9.4,24,23,93,2,360
2014,1,20,1.2,26,23.6,89,2,360
2014,1,21,-1,29.7,24.1,85,2,360
2014,1,22,26.7,30.9,23.6,84,2,360
2014,1,23,-1,29.9,24,82,3,360
2014,1,24,0,28.1,22.7,82,3,360
2014,1,25,0,30.3,21.6,74,2,360
2014,1,26,0,29.8,21,74,2,360
2014,1,27,1.1,28.3,22,84,3,360
2014,1,28,3.4,31.7,22.4,74,3,360
2014,1,29,0,30.7,22.7,78,3,360
2014,1,30,0,30.1,23,80,3,360
2014,1,31,-1,27,21.4,83,1,360
2014,2,1,0,33.1,24.1,79,2,180
2014,2,2,2.3,33.2,24.7,81,2,180
2014,2,3,0,32.8,25,77,2,180
2014,2,4,0,33.1,24.6,77,2,70
2014,2,5,8.8,32.1,24,80,2,360
2014,2,6,1.3,33,25,75,3,360
2014,2,7,-1,29.2,24.3,88,2,360
2014,2,8,0.2,32,25.2,87,2,360
2014,2,9,0.2,27.8,23.7,88,2,360
2014,2,10,11,30.6,24,88,2,360
2014,2,11,-1,32.3,24.6,81,3,360
2014,2,12,0,30.4,23.6,81,2,360
2014,2,13,-1,31,23.8,80,3,360
2014,2,14,-1,31,23.8,78,3,360
2014,2,15,-1,31.3,24,77,3,360
2014,2,16,-1,30.9,24,80,3,360
2014,2,17,0,30.5,23.1,79,3,360
2014,2,18,0,32,23,74,1,360
2014,2,19,0,32.2,24,71,3,360
2014,2,20,0,31.2,23,76,2,360
2014,2,21,0,33,23,76,4,360
2014,2,22,0,32.7,23.8,71,3,360
2014,2,23,-1,30,23.1,78,3,360
2014,2,24,0,31.7,23,78,3,360
2014,2,25,0,32.9,23.7,76,3,360
2014,2,26,0,32,23.8,82,3,360
2014,2,27,0,32,24.2,80,3,360
2014,2,28,0,32.7,24,79,3,360
2014,3,1,0,34,24.2,74,2,360
2014,3,2,6.2,34,24.3,72,2,40
2014,3,3,-1,34.1,25.3,81,3,360
2014,3,4,0,33.4,24.9,75,3,40
2014,3,5,0.2,33.8,23.9,80,3,360
2014,3,6,0,33.4,24.2,78,2,360
2014,3,7,0,32.2,24.4,75,3,360
2014,3,8,0,32.6,23.8,78,3,360
2014,3,9,0,33.6,24.6,75,3,360
2014,3,10,-1,32.2,24.1,81,1,360
2014,3,11,8.3,26.4,23.5,91,2,360
2014,3,12,2,33,25.3,81,2,220
2014,3,13,-1,30.5,26,90,1,360
2014,3,14,2.6,32,25.3,81,2,360
2014,3,15,4.4,31.1,24,82,2,360
2014,3,16,-1,34.2,25,76,3,360
2014,3,17,3.2,30.2,24.2,88,2,360
2014,3,18,24.8,31.8,24,83,2,360
2014,3,19,4.6,26.8,24,92,2,360
2014,3,20,8.7,27.8,24,93,1,360
2014,3,21,0.4,30.2,24.2,86,2,360
2014,3,22,2.2,32.7,24,87,1,40
2014,3,23,78.2,33,23.6,85,1,360
2014,3,24,60.3,32.8,25,78,2,360
2014,3,25,2,32.8,25.5,82,2,360
2014,3,26,0,31,25.6,86,1,20
2014,3,27,-1,32,25,83,2,40
2014,3,28,0,33.6,25.1,80,2,40
2014,3,29,27.2,33.1,24.6,80,2,360
2014,3,30,0,32.2,26,79,2,360
2014,3,31,0,33.4,24.8,78,2,40
2014,4,1,0,33.1,24,74,2,40
2014,4,2,0,33.5,25,77,2,360
2014,4,3,0,33.5,25,78,2,360
2014,4,4,-1,32.8,24.7,81,2,20
2014,4,5,0,34.4,24.5,74,2,360
2014,4,6,0,33.1,24.6,76,3,360
2014,4,7,0,32.8,26,77,3,360
2014,4,8,0,30.5,24.2,83,2,360
2014,4,9,-1,31,25,85,2,360
2014,4,10,0,32.6,25.2,76,2,360
2014,4,11,-1,33.2,25.2,76,2,40
2014,4,12,41,33,24.4,80,1,360
2014,4,13,2.8,33,25.8,81,1,90
2014,4,14,7.2,33.3,25.5,83,1,180
2014,4,15,0,33.6,24.9,81,1,180
2014,4,16,0,34,25.1,79,2,360
2014,4,17,4.4,33.5,25.2,79,2,360
2014,4,18,28.8,32.5,24.6,83,1,360
2014,4,19,19.6,34,26.1,80,2,180
2014,4,20,0,33.7,25.7,78,2,180
2014,4,21,13.4,34.3,25.2,77,1,40
2014,4,22,30.7,33.7,25,79,2,40
2014,4,23,0.8,33.8,25.8,78,2,180
2014,4,24,0.8,33.8,26,81,1,180
2014,4,25,-1,34.8,26,76,2,360
2014,4,26,0,34.2,24.3,72,2,40
2014,4,27,0,34.4,25.1,71,2,360
2014,4,28,1,35.3,25.6,72,2,40
2014,4,29,0,34.4,26.3,74,2,70
2014,4,30,0,34.3,26.5,76,2,180
2014,5,1,0,34.8,26.3,73,2,180
2014,5,2,0,35.1,25.3,72,1,90
2014,5,3,0,35.1,25,70,2,360
2014,5,4,-1,35.7,26.1,71,2,90
2014,5,5,0,35,26.9,73,2,220
2014,5,6,-1,34.4,26.5,75,2,180
2014,5,7,0,34,26.8,76,2,20
2014,5,8,-1,34.3,26.6,77,2,40
2014,5,9,0,31.7,25.7,83,2,360
2014,5,10,0,30.4,25.3,82,1,360
2014,5,11,0,32.6,25,79,1,360
2014,5,12,3.4,33.7,25.7,80,1,360
2014,5,13,8.4,30,24,91,1,220
2014,5,14,-1,32.9,25.1,82,1,180
2014,5,15,3,32,25.2,85,1,160
2014,5,16,18.2,33.2,25,81,2,180
2014,5,17,14.6,32.6,24.8,82,1,360
2014,5,18,0,34,25.9,77,1,90
2014,5,19,9.1,32.8,25.1,81,1,40
2014,5,20,0.6,33.2,25.7,82,1,220
2014,5,21,-1,34,24,76,2,20
2014,5,22,-1,33.5,26,77,1,180
2014,5,23,2.8,34,25.8,80,1,360
2014,5,24,4.2,33.3,24.6,85,1,360
2014,5,25,-1,34.1,25.7,79,2,360
2014,5,26,0,34.4,26.8,79,2,40
2014,5,27,0,35,26.8,76,2,70
2014,5,28,5.8,33.5,24.8,79,1,180
2014,5,29,22.2,34,25.3,84,1,180
2014,5,30,2.4,32.8,26,83,1,180
2014,5,31,-1,32.1,26,84,1,180
2014,6,1,0,33.4,27,80,2,180
2014,6,2,8,35,26.1,78,2,70
2014,6,3,0.6,33.6,25.2,79,2,180
2014,6,4,0.8,33.4,26,80,1,180
2014,6,5,0,33.9,26.6,78,2,180
2014,6,6,7.6,33.4,25,83,1,220
2014,6,7,1.4,34.8,25.7,77,1,90
2014,6,8,-1,34,26.7,76,1,180
2014,6,9,0,33.3,26.3,81,1,180
2014,6,10,1,34,25.5,78,2,180
2014,6,11,0.2,35,24.7,72,2,360
2014,6,12,3.2,35,25.4,73,1,180
2014,6,13,5,34,25,80,1,360
2014,6,14,1,32.8,25.1,81,1,70
2014,6,15,40,33.6,25.2,83,1,180
2014,6,16,7.4,31,25.8,87,2,180
2014,6,17,3.5,29.8,25,86,1,180
2014,6,18,-1,32,25.6,83,1,180
2014,6,19,1,33.3,26.6,81,2,180
2014,6,20,4.2,32.8,24.6,80,2,180
2014,6,21,1.6,29,24.3,90,1,180
2014,6,22,3,32.6,24.8,83,2,180
2014,6,23,0.4,33.7,25.1,77,1,180
2014,6,24,24,34,24.3,77,2,180
2014,6,25,8.8,31.4,24.2,89,1,180
2014,6,26,0,32,25.8,83,1,180
2014,6,27,0,32.5,26,84,1,180
2014,6,28,8.6,33,24.6,81,1,180
2014,6,29,1.9,31.2,24.7,84,1,180
2014,6,30,1.1,28.9,24.1,88,1,40
2014,7,1,0.6,31.8,24.2,82,1,180
2014,7,2,-1,31.8,26,82,1,180
2014,7,3,0,32,26.3,78,1,180
2014,7,4,0.4,33,27,78,2,180
2014,7,5,-1,32.6,26.9,80,2,180
2014,7,6,0,31.6,26.9,79,2,180
2014,7,7,0,33.3,25.7,74,2,220
2014,7,8,-1,32.2,26.1,79,2,180
2014,7,9,3.6,32.6,24.2,83,1,360
2014,7,10,0,32.4,25,82,1,180
2014,7,11,-1,32.5,25,81,1,200
2014,7,12,1,32,25.7,82,1,180
2014,7,13,-1,32.3,25.1,80,1,180
2014,7,14,0.2,32.5,26.1,82,1,180
2014,7,15,0,32,25.1,77,1,70
2014,7,16,0,33.3,25.1,77,1,180
2014,7,17,0.2,34,25.6,75,2,180
2014,7,18,8,32.1,25.2,83,1,180
2014,7,19,-1,30,25.8,85,1,20
2014,7,20,0.8,32.2,25,78,1,360
2014,7,21,0,34,27,74,2,180
2014,7,22,0,33.1,25.9,78,2,180
2014,7,23,0.4,32.3,26,81,1,180
2014,7,24,14.8,33.3,24.2,83,1,200
2014,7,25,16.7,30.6,24.8,90,1,180
2014,7,26,0,29.7,24.8,89,1,90
2014,7,27,-1,31.5,24.4,83,1,90
2014,7,28,3,32.7,26.8,77,2,180
2014,7,29,0,33.6,25.4,74,2,180
2014,7,30,0.4,31,25.7,80,2,180
2014,7,31,0,32,25.4,79,2,180
2014,8,1,0.2,32.6,26.1,79,2,180
2014,8,2,0.4,32.8,24.9,80,2,180
2014,8,3,0,32.4,25.5,82,1,180
2014,8,4,0,34.1,26,76,2,180
2014,8,5,0,32.6,23.8,79,2,180
2014,8,6,0,32.2,26,80,1,180
2014,8,7,0,33,27,78,2,180
2014,8,8,0,33.7,25,78,3,180
2014,8,9,-1,33,25.5,78,2,180
2014,8,10,0,34.1,25.2,74,2,180
2014,8,11,0,34.2,26,77,2,180
2014,8,12,6.8,33.2,24,78,2,180
2014,8,13,0,32.8,25.7,78,2,180
2014,8,14,24.6,33,24.2,82,1,360
2014,8,15,1.6,31.9,24.1,81,2,180
2014,8,16,1,31.3,25.3,80,2,180
2014,8,17,11.2,33,24.8,79,2,180
2014,8,18,1.4,32,25.1,83,1,180
2014,8,19,9.8,34,24.7,80,2,70
2014,8,20,10.9,32,23.1,87,1,180
2014,8,21,-1,32,24.7,80,1,180
2014,8,22,0,32.4,24.8,78,1,180
2014,8,23,0,33.1,26,78,1,180
2014,8,24,10.2,32.6,24.7,81,2,180
2014,8,25,24.2,31.6,23.2,86,1,180
